Id,Prediction
2984,9
2985,9
2986,9
2987,1
2988,2
2989,10
2990,6
2991,10
2992,5
2993,5
2994,5
2995,9
2996,0
2997,0
2998,8
2999,1
3000,5
3001,9
3002,8
3003,0
3004,4
3005,8
3006,10
3007,5
3008,3
3009,3
3010,3
3011,3
3012,1
3013,3
3014,9
3015,0
3016,7
3017,9
3018,0
3019,0
3020,1
3021,1
3022,7
3023,1
3024,8
3025,0
3026,1
3027,9
3028,8
3029,2
3030,8
3031,7
3032,1
3033,0
3034,8
3035,7
3036,1
3037,6
3038,9
3039,8
3040,2
3041,6
3042,0
3043,10
3044,6
3045,8
3046,6
3047,2
3048,9
3049,4
3050,6
3051,0
3052,8
3053,5
3054,0
3055,1
3056,10
3057,3
3058,0
3059,7
3060,8
3061,5
3062,4
3063,7
3064,7
3065,3
3066,2
3067,5
3068,6
3069,8
3070,5
3071,9
3072,1
3073,2
3074,4
3075,10
3076,7
3077,5
3078,4
3079,1
3080,2
3081,5
3082,0
3083,4
3084,5
3085,5
3086,10
3087,6
3088,5
3089,6
3090,5
3091,3
3092,0
3093,5
3094,1
3095,5
3096,3
3097,7
3098,6
3099,10
3100,5
3101,1
3102,4
3103,8
3104,0
3105,6
3106,10
3107,5
3108,5
3109,3
3110,3
3111,3
3112,7
3113,9
3114,7
3115,6
3116,10
3117,9
3118,8
3119,2
3120,3
3121,5
3122,5
3123,9
3124,5
3125,0
3126,4
3127,0
3128,8
3129,2
3130,9
3131,8
3132,8
3133,1
3134,5
3135,6
3136,0
3137,3
3138,6
3139,9
3140,0
3141,8
3142,6
3143,8
3144,8
3145,2
3146,4
3147,0
3148,8
3149,3
3150,4
3151,2
3152,9
3153,9
3154,2
3155,8
3156,10
3157,8
3158,10
3159,7
3160,0
3161,7
3162,9
3163,5
3164,7
3165,9
3166,8
3167,5
3168,9
3169,9
3170,9
3171,10
3172,10
3173,5
3174,10
3175,9
3176,1
3177,6
3178,8
3179,2
3180,6
3181,9
3182,4
3183,4
3184,3
3185,5
3186,8
3187,9
3188,4
3189,10
3190,9
3191,10
3192,2
3193,5
3194,0
3195,0
3196,4
3197,7
3198,10
3199,3
3200,9
3201,7
3202,3
3203,0
3204,10
3205,8
3206,4
3207,10
3208,4
3209,5
3210,8
3211,5
3212,0
3213,1
3214,2
3215,7
3216,10
3217,8
3218,8
3219,1
3220,6
3221,8
3222,5
3223,6
3224,5
3225,8
3226,3
3227,3
3228,7
3229,8
3230,8
3231,8
3232,3
3233,1
3234,6
3235,6
3236,4
3237,2
3238,9
3239,5
3240,5
3241,7
3242,2
3243,4
3244,9
3245,2
3246,10
3247,4
3248,9
3249,1
3250,6
3251,9
3252,0
3253,6
3254,10
3255,4
3256,2
3257,3
3258,2
3259,1
3260,8
3261,7
3262,1
3263,8
3264,9
3265,6
3266,2
3267,1
3268,5
3269,5
3270,10
3271,8
3272,9
3273,5
3274,3
3275,9
3276,4
3277,1
3278,6
3279,9
3280,2
3281,5
3282,0
3283,7
3284,3
3285,0
3286,4
3287,1
3288,2
3289,9
3290,0
3291,9
3292,7
3293,8
3294,7
3295,6
3296,0
3297,9
3298,7
3299,1
3300,4
3301,2
3302,6
3303,0
3304,2
3305,7
3306,7
3307,3
3308,3
3309,10
3310,2
3311,5
3312,7
3313,4
3314,7
3315,6
3316,9
3317,7
3318,3
3319,4
3320,5
3321,5
3322,0
3323,10
3324,4
3325,2
3326,0
3327,0
3328,5
3329,4
3330,10
3331,8
3332,6
3333,5
3334,5
3335,8
3336,1
3337,1
3338,2
3339,10
3340,9
3341,0
3342,7
3343,7
3344,10
3345,0
3346,1
3347,1
3348,4
3349,9
3350,2
3351,8
3352,5
3353,0
3354,10
3355,6
3356,8
3357,7
3358,6
3359,7
3360,9
3361,9
3362,5
3363,5
3364,7
3365,2
3366,9
3367,3
3368,1
3369,9
3370,4
3371,9
3372,10
3373,2
3374,0
3375,10
3376,4
3377,0
3378,2
3379,2
3380,7
3381,8
3382,7
3383,2
3384,5
3385,5
3386,6
3387,8
3388,5
3389,8
3390,3
3391,10
3392,2
3393,0
3394,2
3395,9
3396,6
3397,2
3398,0
3399,5
3400,3
3401,3
3402,5
3403,7
3404,9
3405,5
3406,9
3407,7
3408,1
3409,1
3410,0
3411,5
3412,0
3413,2
3414,2
3415,2
3416,1
3417,10
3418,7
3419,1
3420,3
3421,6
3422,5
3423,7
3424,6
3425,9
3426,2
3427,1
3428,10
3429,9
3430,9
3431,9
3432,6
3433,9
3434,5
3435,1
3436,3
3437,10
3438,3
3439,3
3440,8
3441,0
3442,3
3443,0
3444,2
3445,3
3446,6
3447,3
3448,10
3449,9
3450,10
3451,7
3452,4
3453,4
3454,5
3455,10
3456,4
3457,1
3458,9
3459,9
3460,6
3461,6
3462,6
3463,3
3464,5
3465,5
3466,7
3467,4
3468,9
3469,3
3470,8
3471,8
3472,1
3473,2
3474,8
3475,4
3476,10
3477,4
3478,9
3479,8
3480,5
3481,5
3482,2
3483,7
3484,9
3485,8
3486,0
3487,7
3488,6
3489,1
3490,10
3491,7
3492,10
3493,4
3494,2
3495,5
3496,2
3497,9
3498,6
3499,7
3500,2
3501,10
3502,8
3503,3
3504,5
3505,10
3506,2
3507,4
3508,6
3509,6
3510,3
3511,5
3512,1
3513,0
3514,5
3515,1
3516,2
3517,5
3518,4
3519,9
3520,10
3521,2
3522,10
3523,9
3524,9
3525,9
3526,10
3527,8
3528,6
3529,9
3530,10
3531,10
3532,9
3533,3
3534,9
3535,9
3536,4
3537,4
3538,2
3539,8
3540,4
3541,2
3542,1
3543,6
3544,5
3545,7
3546,4
3547,9
3548,5
3549,2
3550,0
3551,2
3552,5
3553,0
3554,3
3555,1
3556,6
3557,6
3558,8
3559,7
3560,1
3561,1
3562,4
3563,9
3564,3
3565,6
3566,0
3567,8
3568,10
3569,2
3570,5
3571,5
3572,1
3573,4
3574,3
3575,6
3576,8
3577,4
3578,4
3579,4
3580,1
3581,3
3582,8
3583,9
3584,6
3585,10
3586,9
3587,8
3588,7
3589,4
3590,10
3591,4
3592,0
3593,2
3594,8
3595,7
3596,2
3597,5
3598,5
3599,8
3600,1
3601,2
3602,1
3603,8
3604,6
3605,3
3606,4
3607,1
3608,8
3609,4
3610,5
3611,0
3612,1
3613,7
3614,2
3615,4
3616,9
3617,9
3618,5
3619,6
3620,9
3621,10
3622,2
3623,5
3624,0
3625,1
3626,2
3627,9
3628,3
3629,4
3630,2
3631,5
3632,5
3633,3
3634,5
3635,7
3636,2
3637,3
3638,2
3639,10
3640,2
3641,5
3642,0
3643,3
3644,6
3645,4
3646,3
3647,5
3648,0
3649,4
3650,2
3651,0
3652,2
3653,6
3654,0
3655,0
3656,1
3657,2
3658,1
3659,5
3660,6
3661,2
3662,8
3663,7
3664,2
3665,0
3666,5
3667,8
3668,2
3669,9
3670,5
3671,6
3672,0
3673,8
3674,6
3675,3
3676,9
